Title,URL,Date Published,Authors,Abstract
"Study of smart grid cyber-security, examining architectures, communication networks, cyber-attacks, countermeasure techniques, and challenges",https://link.springer.com/article/10.1186/s42400-023-00200-w,02 May 2024,"Batoul Achaal, Mehdi Adda, Maxime Berger, Hussein Ibrahim, Ali Awde","Smart Grid (SG) technology utilizes advanced network communication and monitoring technologies to manage and regulate electricity generation and transport. However, this increased reliance on technology and connectivity also introduces new vulnerabilities, making SG communication networks susceptible to large-scale attacks. While previous surveys have mainly provided high-level overviews of SG architecture, our analysis goes further by presenting a comprehensive architectural diagram encompassing key SG components and communication links. This holistic view enhances understanding of potential cyber threats and enables systematic cyber risk assessment for SGs. Additionally, we propose a taxonomy of various cyberattack types based on their targets and methods, offering detailed insights into vulnerabilities. Unlike other reviews focused narrowly on protection and detection, our proposed categorization covers all five functions of the National Institute of Standards and Technology cybersecurity framework. This delivers a broad perspective to help organizations implement balanced and robust security. Consequently, we have identified critical research gaps, especially regarding response and recovery mechanisms. This underscores the need for further investigation to bolster SG cybersecurity. These research needs, among others, are highlighted as open issues in our concluding section."
Is cyber hygiene a remedy to IPTV infringement? A study of online streaming behaviours and cyber security practices,https://link.springer.com/article/10.1007/s10207-024-00824-0,06 March 2024,"Rajiv Shah, Deniz Cemiloglu, Cagatay Yucel, Raian Ali, Vasilis Katos","Spurred by the rapid modernisation of the sector and the advent of Internet Protocol Television (IPTV), audiovisual (AV) piracy is at epidemic levels, with interventions having limited effect. To date, the dominant themes in interventions have been around personal deterrence (i.e. the threat of legal action) and have not considered other factors that may influence an individual’s decision to consume infringing content. In this paper, we consider psychological factors, including perceptions around risk-taking, security behaviours, problematic internet use and personality traits, to gain a comprehensive understanding of factors influencing engagement with IPTV and the potential implications for cyber security. For this purpose, a survey was conducted with 283 participants living in the UK (age range 18–74, male 104), and an integrated structural equation model was constructed. Our findings showed a positive relationship between security behaviours and the perceived risk of viewing IPTV and a negative relationship between the dark personality triad and the perceived risk of viewing IPTV. They suggest that security behaviours fully mediate the relationship between problematic internet use and IPTV risk-taking, indicating a potential new path for anti-piracy interventions with greater efficacy."
A Multi-level Reference Model and a Dedicated Method for Cyber-Security by Design,https://link.springer.com/article/10.1007/s12599-024-00899-y,28 October 2024,"Sybren de Kinderen, Monika Kaczmarek-Heß, Simon Hacks","The increased reliance of organizations on information technology inherently increases their vulnerability to cyber-security attacks. As a response, a host of cyber-security approaches exists. While useful, these approaches exhibit shortcomings such as an inclination to be fragmented, not accounting for up-to-date organizational data, focusing on singular vulnerabilities only, and being reactive, i.e., focusing on patching up vulnerabilities in current systems. The paper presents and evaluates a modeling method aiming to address those shortcomings and to support security by design with a focus on the electricity sector. The proposed modeling method encompasses a multi-level reference model reconstructing and integrating existing initiatives and supporting top-down and bottom-up analyses. Compared to earlier work, the paper contributes (1) a process model for cyber-security by design, which proactively considers security as a first-class citizen during the design process, (2) a complete coverage of the multi-level model, in terms of three views complementing the introduced process model, (3) an elaborated evaluation, in terms of reporting on an additional design science cycle."
Integrating AI-driven threat intelligence and forecasting in the cyber security exercise content generation lifecycle,https://link.springer.com/article/10.1007/s10207-024-00860-w,10 May 2024,"Alexandros Zacharis, Vasilios Katos, Constantinos Patsakis","The escalating complexity and impact of cyber threats require organisations to rehearse responses to cyber-attacks by routinely conducting cyber security exercises. However, the effectiveness of these exercises is limited by the exercise planners’ ability to replicate real-world scenarios in a timely manner that is, most importantly, tailored to the training audience and sector impacted. To address this issue, we propose the integration of AI-driven sectorial threat intelligence and forecasting to identify emerging and relevant threats and anticipate their impact in different industries. By incorporating such automated analysis and forecasting into the design of cyber security exercises, organisations can simulate real-world scenarios more accurately and assess their ability to respond to emerging threats. Fundamentally, our approach enhances the effectiveness of cyber security exercises by tailoring the scenarios to reflect the threats that are more relevant and imminent to the sector of the targeted organisation, thereby enhancing its preparedness for cyber attacks. To assess the efficacy of our forecasting methodology, we conducted a survey with domain experts and report their feedback and evaluation of the proposed methodology."
Identifying cyber security competencies and skills from online job advertisements through topic modeling,https://link.springer.com/article/10.1057/s41284-024-00420-w,06 March 2024,"Ozcan Ozyurt, Ahmet Ayaz","This study aims to reveal the competence areas and skill sets needed in the business world in the field of cyber security (CS). For this purpose, descriptive analysis, topic modeling analysis, and semantic content analysis were conducted on 9407 CS job advertisements obtained from Indeed.com. The results of the study revealed a total of 10 job titles and 23 skill sets expected by the business world in CS job postings. The first three titles in terms of volume were “Engineer”, “Analyst” and “Specialist”, while the first three skill sets were determined as “Business/Customer services”, “System engineering”, and “Bachelor degree”. In addition, maps showing the relationships between titles and skills were created with a title-skill set matrix. The results of our study can be expected to contribute to candidates and professionals in the field of cyber security, IT organizations, and educational institutions in the cyber security business world by seeing, evaluating, developing, and expanding the current knowledge, skills, and competencies needed in the field."
Assessing the Security of a Cyber-Physical System Based on an Analysis of Malware Signatures,https://link.springer.com/article/10.3103/S0146411623080175,01 December 2023,D. A. Moskvin,Abstract Not Available
A review of time-series analysis for cyber security analytics: from intrusion detection to attack prediction,https://link.springer.com/article/10.1007/s10207-024-00921-0,30 October 2024,"Max Landauer, Florian Skopik, Branka Stojanović, Andreas Flatscher, Torsten Ullrich","Understanding the current threat landscape as well as timely detection of imminent attacks are primary objectives of cyber security. Through time-series modeling of security data, such as event logs, alerts, or incidents, analysts take a step towards these goals. On the one hand, extrapolating time-series to predict future occurrences of attacks and vulnerabilities is able to support decision-making and preparation against threats. On the other hand, detection of model deviations as anomalies can point to suspicious outliers and thereby disclose cyber attacks. However, since the set of available techniques for time-series analysis is just as diverse as the research domains in the area of cyber security analytics, it can be difficult for analysts to understand which approaches fit the properties of security data at hand. This paper therefore conducts a broad literature review in research domains that leverage time-series analysis for cyber security analytics, with focus on available techniques, data sets, and challenges imposed by applications or feature properties. The results of our study indicate that relevant approaches range from detective systems ingesting short-term and low-level events to models that produce long-term forecasts of high-level attack cases."
AI hype as a cyber security risk: the moral responsibility of implementing generative AI in business,https://link.springer.com/article/10.1007/s43681-024-00443-4,23 February 2024,"Declan Humphreys, Abigail Koay, Dennis Desmond, Erica Mealy","This paper examines the ethical obligations companies have when implementing generative Artificial Intelligence (AI). We point to the potential cyber security risks companies are exposed to when rushing to adopt generative AI solutions or buying into “AI hype”. While the benefits of implementing generative AI solutions for business have been widely touted, the inherent risks associated have been less well publicised. There are growing concerns that the race to integrate generative AI is not being accompanied by adequate safety measures. The rush to buy into the hype of generative AI and not fall behind the competition is potentially exposing companies to broad and possibly catastrophic cyber-attacks or breaches. In this paper, we outline significant cyber security threats generative AI models pose, including potential ‘backdoors’ in AI models that could compromise user data or the risk of ‘poisoned’ AI models producing false results. In light of these the cyber security concerns, we discuss the moral obligations of implementing generative AI into business by considering the ethical principles of beneficence, non-maleficence, autonomy, justice, and explicability. We identify two examples of ethical concern,overrelianceandover-trustin generative AI, both of which can negatively influence business decisions, leaving companies vulnerable to cyber security threats. This paper concludes by recommending a set of checklists for ethical implementation of generative AI in business environment to minimise cyber security risk based on the discussed moral responsibilities and ethical concern."
Implementation of a novel secured authentication protocol for cyber security applications,https://link.springer.com/article/10.1038/s41598-024-76306-z,28 October 2024,"V. Suresh Kumar, Osamah Ibrahim Khalaf, Radha Raman Chandan, Qusay Bsoul, Shashi Kant Gupta, Firas Zawaideh, Deema Mohammed Alsekait, Diaa Salama AbdElminaam","Robust verification protocols are crucial for maintaining the security and reliability of sensitive information due to the increasing complexity of cyber-attacks. This paper introduces a novel 5G Secure Handover Protocol aimed at addressing security and effectiveness issues encountered in existing systems. The proposed protocol is robust against various attacks, including de-synchronization, replay, man-in-the-middle (MITM), denial of services (DoS), and jamming, ensures perfect forward key secrecy, safeguarding communication confidentiality. The proposed protocol utilizes a combination of spiking neural network and fuzzy logic (SNN-FL) techniques that must choose the goal cell as carefully as possible before initiating the transfer process. By combining fuzzy logic and spiking neural networks to reduce handover latency and thwart several types of cyberattacks, the proposed 5G Secure Handover Protocol improves security. Extensive simulations show its efficacy and emphasize its potential for safe communication in large-scale cybersecurity applications. The paper presents a novel secure authentication protocol that significantly reduces handover delays and improves efficiency. Simulations show its resilience against common security threats, protecting sensitive information and maintaining secure communication channels. The protocol, with low communication expenses, complex spatial, and latency for changeover verification, is ideal for large-scale cybersecurity applications, contributing to the development of secure digital authentication mechanisms."
DL-SkLSTM approach for cyber security threats detection in 5G enabled IIoT,https://link.springer.com/article/10.1007/s41870-023-01651-7,18 December 2023,"Anjali Rajak, Rakesh Tripathi","The advancement of 5G technology has enabled the IIoT (Industrial Internet of Things) to integrate artificial intelligence, cloud computing, and edge computing in real-time, leading to an improvement in industrial procedures in terms of efficiency. Despite the benefits of 5G technology for the IIoT, it also introduces new security risks and complexity to the control systems used in these ecosystems. Recent cyber-attacks are increasingly targeting vulnerable IoT devices, highlighting the need for enhanced security and privacy measures. To address this issue, this study proposes a 5G-based system that utilizes the DL-SkLSTM (Deep Learning- Stacked Long Short-Term Memory) based architecture to detect and classify the cyber-attack on a publicly accessible IIoT dataset, namely the Edge-IIoTset. SkLSTM is used to differentiate various cyberattacks. Finally, conducting a comprehensive analysis and comparison, we have identified that the proposed system outperforms several state-of-the-art DL and machine learning techniques."
The LeWiS Method: Target Variable Estimation Using Cyber Security Intelligence,https://link.springer.com/article/10.1007/s42979-024-02744-1,18 April 2024,"Leigh Chase, Alaa Mohasseb, Benjamin Aziz","Information technology plays an increasingly important role in the provision of essential services. For these systems and networks to be reliable and trustworthy, we must defend them from those who would seek to compromise their confidentiality, integrity and availability. Security intelligence tells us about the tactics, techniques and procedures used by threat actors for these very purposes. In this paper, we introduce a novel method for learning malicious behaviours and then estimating how likely it is that a system has been compromised. One of the difficulties encountered when applying machine learning to cyber security, is the lack of ground truth on which to train supervised techniques. This is often compounded by the volume, variety and velocity of data which is far greater than can be processed using only human analyses. The technique known as LeWiS, created and described by the authors, includes data preparation and processing phases that learn and later predict the presence of threat actors using a model of their behaviours. The method addresses the problems of scale and veracity, by learning indicators of attack via feature extraction from security intelligence that has been obtained through empirical methods. This approach shows promising classification performance for detecting learned malicious behaviours, within synthesised systems’ event data."
A study on building awareness in cyber security for educational system in India using interpretive structural modellings,https://link.springer.com/article/10.1007/s13198-024-02273-3,29 February 2024,"Sachi Nandan Mohanty, Tilottama Singh, Richa Goel, Sukanta Kumar Baral, Rakesh Kumar","The aim of this study to find out awareness of cyber security education in India. This Study applies unifies theory model named Interpretive Structural Modelling (ISM). Cybersecurity is crucial to the information technology industry. The first thing that springs to mind whenever we consider cyber security is the enormous daily increase in cybercrimes. This Study Finds challenges and future scope of Cyber security education in India. Data collected from the introduction of E-learning and Bring Your Own Device (BYOD) programmes into the educational system. Study also finds that there has been a noticeable increase in internet usage, mostly among students. The Study found many challenging impacts of using of access of internet for children like cyberbullying, increasing of various threat actors, online scams, online gaming and even phishing of emails. These all challenges have seen actively among the children. There have been government initiatives which have been taken to protect children and even women to protect women as well. Based on past research, this study will focus in determining the various implementing challenges of cybersecurity education in India for which an ISM model is performed.The study discusses the remedies for the cybersecurity education in the institutions."
Securing the remote office: reducing cyber risks to remote working through regular security awareness education campaigns,https://link.springer.com/article/10.1007/s10207-023-00809-5,29 January 2024,"Giddeon Njamngang Angafor, Iryna Yevseyeva, Leandros Maglaras","Cyber security threats, including risks to remote workers, are varied and diverse, with the number of scams and business email compromise breaches increasing. Firms and their staff are experiencing mass phishing attacks, several typical precursors to more sinister attacks like cyber-enabled fraud, ransomware, and denial of service (DDoS) attacks. Threat actors are leveraging new technologies such as machine learning and artificial intelligence (AI) to deliver sophisticated scam and phishing messages that are challenging for users to identify as malicious. Several businesses are increasing technical efforts in critical areas, including network hardening, robust patching, anti-malware, ransomware detection applications, and multi-factor authentication to detect, prevent, and recover from potential threats. Despite that, these measures provide only a partial solution if the users who access the systems do not have good security awareness training. In this study, we review some cyber risks related to remote working and detail how they can be remediated through regular security awareness education campaigns (SAECs). The study presents the results of a proof of concept (PoC) experiment conducted to establish the value of regular SAECs in the fight against scams and phishing attacks against remote workers. The pilot results confirm that securing the remote office requires a robust SAEC. It argues that to be successful and help staff protect business systems and data, SAECs must be regular and varied, providing opportunities for staff to understand what to look for in suspicious scams and phishing emails. Moreover, they must provide opportunities for staff to practice their knowledge and understanding through practical exercises such as spam and phishing simulation exercises, which could help users avoid falling victim to spam and phishing emails."
Blockchain-based cyber-security trust model with multi-risk protection scheme for secure data transmission in cloud computing,https://link.springer.com/article/10.1007/s10586-024-04481-9,16 April 2024,"Mohd Akbar, Mohammed Mujtaba Waseem, Syeda Husna Mehanoor, Praveen Barmavatu","The rise of cloud computing has transformed the way data is stored and managed, yet it has also brought about major security issues, especially concerning the secure transfer of data within cloud systems. In response to these challenges, this research develops a comprehensive cyber-security trust model that provides multi-risk protection for secure data transmission in cloud computing, ensuring the highest level of privacy and data security. This innovative approach aims to ensure the secure transmission of data in cloud computing while harnessing the combined strengths of Quantum Key Distribution (QKD) and Advanced Encryption Algorithm. As cloud environments become integral to modern business operations, safeguarding data against a multitude of security risks, including traditional and emerging threats, is paramount. The Cyber-Security Trust Model leverages blockchain to establish a transparent and tamper-resistant ledger of all data transactions within the cloud. This blockchain layer enhances data integrity, auditability, and traceability while also providing a decentralized and trust-based framework for authentication and authorization. The Multi-Risk Protection Model incorporates both Quantum Key Distribution (QKD) and a Modified Advanced Encryption Standard (MAES) to offer multi-layered defence mechanisms. Through rigorous testing and analysis, this study demonstrates the feasibility and effectiveness of the proposed Cyber-Security Trust Model with a Merkle tree-based solution for data integrity verification. It makes a significant impact on the field of secure data transmission in cloud computing by providing strong protection against a constantly changing set of security threats. MATLAB is employed to conduct rigorous experiments, analyse results, and validate the model’s performance in various cloud computing scenarios. The findings of the proposed study show the proposed method, combining Quantum Key Distribution (QKD) and Modified AES (MAES), stands out with exceptional performance, featuring encryption and decryption times of 2.25ms and 1.071ms, respectively. The proposed system outperforms all others, boasting an impressive accuracy rate of 99.84%. This research signifies a ground-breaking advancement in cloud computing security, addressing a spectrum of traditional and emerging threats through a multi-risk protection model incorporating Quantum Key Distribution (QKD) and MAES while demonstrating exceptional performance in rigorous experiments."
A personalized learning theory-based cyber-security training exercise,https://link.springer.com/article/10.1007/s10207-023-00704-z,02 June 2023,"Nabin Chowdhury, Vasileios Gkioulos","Current enterprises’ needs for skilled cyber-security (CS) professionals have prompted the development of diverse CS training programs and offerings. It has been noted that even though enterprise staff is now more aware of security threats, the number of successful attacks against companies has all but decreased over the years. Several criticisms were raised against current CS training offerings, which often made them inadequate, or unable to change participants’ behavior and security attitude. One of the main factors CS training programs are often not very effective is the lack of engagement or motivation of participants. This is often the result of training not being tailored to the needs or preferences of participants. In our previous work, we tackled this issue by developing a personalized learning theory-based model for developing CS training frameworks. In this work, we utilize the model to develop two CS training exercises: two game-based scenarios using the CS training video game Cyber CIEGE and one table-top team exercise. The exercises are later tested by involving a group of 12 students from the Norwegian Institute of Science and Technology (NTNU) Information Security master’s degree program. According to the results of the experiment and the feedback from the students, students felt more engaged during the exercises due to having been participants in their development process. This has in turn motivated them to continue using the training tools independently in their spare time. Further research is recommended to establish whether the training development model is adequate for different target groups, as well as better performing than other models when developing full-fledged training programs."
Cyber Security Threats Detection in IoT Using Krill Based Deep Neural Network Stacked Auto Encoders,https://link.springer.com/article/10.1007/s11277-024-11002-9,01 March 2024,"Pragati Rana, Sanjeev Chauhan, B. P. Patil","The Internet of things (IoT) has concerned much significance for some manufacturing sectors including clinical fields, co-ordinations following, savvy urban communities, and automobiles. Anyway as a worldview, it is sensitive to different sorts of cyber-attacks. Customary very good quality security resolutions for guarantee an IoT structure are not reasonable. This deduces clever organization-based security plans as AI arrangements ought to be made. In this work, we propose Cyber Security Threats recognition in IoT utilizing Krill Based Deep Neural Network Stacked Auto Encoders (KDNN-SAE). In our proposed approach, first, the information pre-processing measure was acted in the underlying development before isolating the dataset into two segments: preparing and test. At that point, flow-based features are extracted from the pre-processed information. By then, the properties to be utilized by the algorithms are chosen in the attribute determination utilizing the Genetic Algorithm (GA). At last, our methodology completes with the execution of the machine learning algorithm KDNN-SAE. The experimental outcome proposed accuracy of is 99.37%. Comparable to the exiting SVM which achieves 98%, K-NN which achieves 98%. The NB and RF had less Accuracy 90%, 92%."
A Comprehensive Review on Deep Learning Techniques on Cyber Attacks on Cyber Physical Systems,https://link.springer.com/article/10.1007/s42979-024-03253-x,20 September 2024,"Maloth Sagar, C. Vanmathi","Cyber-Physical Systems (CPSs), which integrate control, computing, and communication, are considered as next-generation intelligent systems.A major concern in CPS is to ensure security. If security is not ensured, then it leads to both property damage and casualties.Since CPS is closely associated with real life, it is a hot research area in present security research. Nevertheless, cyber security issues are also raised. More efforts are still required for understanding CPS security from a more comprehensive perspective even though there are several studies on CPS cybersecurity.To identify and detect cyber security in CPS, numerous methods have been applied. The majority of recently published studies focused on Machine Learning (ML) techniques, with little attention paid to the development of Deep Learning (DL). Hence, the analysis of cyber security on CPS utilizing several algorithms of DL techniques is systematically reviewed.The appropriate cyber security risk levels and their corresponding detection and mitigation processesare determined. This study could augment the adaptability of the system of CPS data. Also, it could increase the generalization of the models of security attacks in CPS. Using DL algorithms is strongly recommended by most authors as a means to identify cyber security issues in CPS.The CNN-centric LSTM, Deep Multi-architectural Approach, and DL-Meta classifier attained the highest accuracy in the detection rate of cyber security attacks in CPS when analogized with the other algorithms in DL techniques. Hence, for several critical systems in CPSs, the result renders clear guidelines to apply other regularization on DL techniques."
