Title,URL,Date Published,Authors,Abstract
The evolution of ransomware attacks in light of recent cyber threats. How can geopolitical conflicts influence the cyber climate?,https://link.springer.com/article/10.1365/s43439-023-00095-w,13 July 2023,"Fabian Teichmann, Sonia R. Boticiu, Bruno S. Sergi","This article aims to analyze the current unpredictable cyber climate. In particular, Russia’s invasion of Ukraine has heightened concerns about security incidents, and ransomware attacks have become a credible threat to businesses around the world. Ransomware attackers often target large companies or companies holding sensitive data, and companies have suffered significant losses in monetary terms and business opportunities. The main research methodology used for this study is desk research. Specifically, an extensive literature review was conducted on the latest trends in ransomware and geopolitical conflict in order to provide an overview of the current cyber climate in light of recent events. We contribute to the literature by investigating recent ransomware attacks, focusing on how the ransom is paid, how the money is transferred to the criminals, how the cryptocurrencies might be recovered, and how sustainability and cybersecurity are linked. These issues have yet to be sufficiently debated amid the latest events in Ukraine and the ransomware gangs’ involvement in geopolitical conflicts. This study provides researchers with a means of assessing vulnerabilities, revealing a path for intended research."
Tracing the evolution of cyber resilience: a historical and conceptual review,https://link.springer.com/article/10.1007/s10207-023-00811-x,01 February 2024,"Vasiliki Tzavara, Savvas Vassiliadis","In 2000, during a time when cyber security research was focused on the risks and threats posed by digital systems, the notion of being able to withstand and recover from cyber attacks, also known as cyber resilience, emerged. Recently, this concept has gained increasing attention due to the COVID-19 pandemic and the rapid acceleration of digitalization. While experts acknowledge the distinction between cyber security and cyber resilience, the exact definition and evolution of the latter remain somewhat ambiguous. The aim of this paper is to offer a thorough comprehension of how the notion of cyber resilience has developed throughout history. It delves into the concept of cyber resilience and its progression over time in response to the rising frequency and complexity of cyber threats. Cyber resilience, a new concept, has gained significant recognition as a critical component of cyber security strategy across diverse sectors, encompassing public and private domains alike. It begins with an overview of the definition and key components of cyber resilience and then traces the origin of the concept from its early development in the 2000s. The paper also explores the major milestones and events that have shaped the evolution of this capacity, including changes in technology and societal factors, up to the COVID-19 pandemic outbreak. This study provides valuable insights into future challenges for ensuring the continued resilience of digital infrastructure by examining the historical and contextual factors that have influenced the concept."
Optimal Resource Allocation and Feasible Hexagonal Topology for Cyber-Physical Systems,https://link.springer.com/article/10.1007/s11424-023-2256-z,12 June 2023,"Yifa Liu, Long Cheng","Networked cyber-physical systems are facing serious security threats from malicious attacks. It is noted that the networked cyber-physical system should take defense measures into account at the beginning of its construction. From the conservative defensive perspective, this paper proposes a robust optimal defense resource allocation strategy to reduce the maximum possible losses of the networked cyber-physical system caused by potential attacks. Then, based on the robust optimal allocation strategy, it can be proved that the topology of the networked cyber-physical system has a great influence on the loss function. In order to further improve security, the effects of adding redundant connections are investigated. Furthermore, by taking geographical knowledge into account, a hexagonal construction scheme is proposed for providing a geographically-feasible and economically-viable solution for building networked cyber-physical systems, where the loss function has a cubic decay."
Taming the leviathans in the air: a geospatial analysis of anti-terrorism air warfare in Nigeria,https://link.springer.com/article/10.1007/s10708-023-10882-x,13 April 2023,Opeyemi Idowu Aluko,"Violence is a common phenomenon in human history. Several violence of different magnitude has wax and wane in different part of the world. Different methods had been applied to curb violence successively. In Nigeria, the urban violence in recent times had change dimension. It had become multi hydra headed and it had made it difficult for the security forces to curb in a short time. These leviathans include; Boko Haram terrorism, Islamic State of West Africa, Fulani Militia, Niger Delta Militia among others. The introduction of geospatial data for air bombardment in recent times in the warfare had change the dynamics of taming violence in the country. Conflict and Tyre Burning theories are used to explain the nature of violence. How had the geospatial data and air warfare assisted in mitigating terrorism in Nigeria? Data from Nigeria defence Head headquarters and Nigeria satellite Commission were analyzed. Results revealed that geospatial information analysis gives the military superior edge over the terrorist groups and it helps to engage in coordinated warfare. If the trend of geospatial data for (air) warfare is accurately sustained, the aim of taming the leviathans will be faster and easier. It will lead to rapid socioeconomic and political development in Nigeria."
A holistic and proactive approach to forecasting cyber threats,https://link.springer.com/article/10.1038/s41598-023-35198-1,17 May 2023,"Zaid Almahmoud, Paul D. Yoo, Omar Alhussein, Ilyas Farhat, Ernesto Damiani","Traditionally, cyber-attack detection relies on reactive, assistive techniques, where pattern-matching algorithms help human experts to scan system logs and network traffic for known virus or malware signatures. Recent research has introduced effective Machine Learning (ML) models for cyber-attack detection, promising to automate the task of detecting, tracking and blocking malware and intruders. Much less effort has been devoted to cyber-attack prediction, especially beyond the short-term time scale of hours and days. Approaches that can forecast attacks likely to happen in the longer term are desirable, as this gives defenders more time to develop and share defensive actions and tools. Today, long-term predictions of attack waves are mostly based on the subjective perceptiveness of experienced human experts, which can be impaired by the scarcity of cyber-security expertise. This paper introduces a novel ML-based approach that leverages unstructured big data and logs to forecast the trend of cyber-attacks at a large scale, years in advance. To this end, we put forward a framework that utilises a monthly dataset of major cyber incidents in 36 countries over the past 11 years, with new features extracted from three major categories of big data sources, namely the scientific research literature, news, blogs, and tweets. Our framework not only identifies future attack trends in an automated fashion, but also generates a threat cycle that drills down into five key phases that constitute the life cycle of all 42 known cyber threats."
Jordanians’ Perceptions and Attitudes Toward the Amended Cyber Crime Law in Jordan: A Visual and Multimodal Analysis,https://link.springer.com/article/10.1007/s11196-024-10169-5,26 June 2024,"Aseel Zibin, Abdel Rahman Mitib Altakhaineh, Amal Abuanzeh, Ahmad Ali Kabbaha","This study examines the visual [monomodal] and multimodal metaphorical representations of Jordanians’ perceptions and attitudes toward the amended Cyber Crime Law in Jordan as depicted by Jordanian activists and image creators online. It adopts Forceville’s theory of Multimodal Metaphor [1,2] as its theoretical framework. Twenty visual and multimodal depictions were collected from online platforms and were analysed to identify metaphorical representations. The results reveal a higher frequency of use of multimodal metaphors over monomodal ones, which can potentially be attributed to the former employing both visual and verbal cues; thus, improving message clarity and comprehensibility. The analysis depicts a predominantly negative image of Jordanian perceptions and attitudes, portraying the law as asilencer, barbed wires, andhandcuffswhich demonstrates its perceived restriction of Jordanians’ freedom of speech in digital space and their online activities. Jordanians were also visually depicted aspotential criminals, suggesting that ordinary citizens are potentially viewed as suspects or criminals under the new Cyber Crime Law. The study highlights the influential role of visual representations in shaping public opinions and perceptions of laws."
AI-enabled remote warfare: sustaining the western Warfare paradigm?,https://link.springer.com/article/10.1057/s41311-021-00337-w,21 July 2021,Ash Rossiter,"The most prominent feature of Western approaches to warfare in recent decades has been the centrality of precision-strike systems and related capabilities—most notably unmanned platforms—for delivering lethal force with ever-greater remoteness. Comparative advantages derived from this ‘remote warfare’ are waning due to competitors’ partial adoption of precision weapon systems and the development of countermeasures. Analyses by military experts and technology enthusiasts in the West propose that Artificial Intelligence (AI), properly harnessed, will soon resuscitate former advantages derived from remote warfare, which have been subject to diminishing returns. The assumptions underpinning this conclusion, however, rest on weaker ground than is claimed. First, AI boosters—unwittingly or otherwise—frequently overstate the near-term impact of AI on important aspects of remote warfare, downplaying enduring technological challenges, and overlooking vulnerabilities associated with greater reliance on AI-enabled systems. Furthermore, it is far from clear whether over the longer-term AI will enhance and entrench the central aspects of remote warfare. Indeed, the technology may lean toward methods of warfare antithetical to the Western warfare paradigm, such as mass over precision or the widespread deployment of lethal autonomous weapons systems (LAWS)."
To subdue the enemies without fighting: Chinese state-sponsored disinformation as digital warfare,https://link.springer.com/article/10.1057/s42984-022-00052-7,23 September 2022,Isabel Fangyi Lu,"This paper examines the nuanced practices of Chinese state-sponsored disinformation campaigns as participatory digital warfare. Utilising Sun Tzu’s three conceptsqizheng(奇正), xingshi(形势) andxushi(虚实), it proposes to analyse disinformation beyond the framework of political communication. With two examples, I analyse how disinformation campaigns can implicate contemporary China’s state-building. I demonstrate that disinformation campaigns strategically utilise suggestive half-lies to mobilise alliances and silence enemies regardless of their nationalities. Depending on whether they conform to the Party agenda, some foreign actors can be enlisted as allies, while critical citizens portrayed as enemies. Overall, the paper argues that Chinese state-sponsored disinformation campaigns can stealthily recruit netizens to combat in an ongoing state-making project that potentially consolidates the authoritarian Party-state. Addressing the gap between Chinese traditional war philosophies and contemporary, technologically informed practices, this paper points out the significance of participatory and cultural countermeasures."
"Freilich, Charles D., Matthew S. Cohen, and Gabi Siboni:Israel and the Cyber Threat: How the Startup Nation Became a Cyber Power",https://link.springer.com/article/10.1007/s12397-024-09561-x,25 June 2024,Stuart Cohen,Abstract Not Available
A personalized learning theory-based cyber-security training exercise,https://link.springer.com/article/10.1007/s10207-023-00704-z,02 June 2023,"Nabin Chowdhury, Vasileios Gkioulos","Current enterprises’ needs for skilled cyber-security (CS) professionals have prompted the development of diverse CS training programs and offerings. It has been noted that even though enterprise staff is now more aware of security threats, the number of successful attacks against companies has all but decreased over the years. Several criticisms were raised against current CS training offerings, which often made them inadequate, or unable to change participants’ behavior and security attitude. One of the main factors CS training programs are often not very effective is the lack of engagement or motivation of participants. This is often the result of training not being tailored to the needs or preferences of participants. In our previous work, we tackled this issue by developing a personalized learning theory-based model for developing CS training frameworks. In this work, we utilize the model to develop two CS training exercises: two game-based scenarios using the CS training video game Cyber CIEGE and one table-top team exercise. The exercises are later tested by involving a group of 12 students from the Norwegian Institute of Science and Technology (NTNU) Information Security master’s degree program. According to the results of the experiment and the feedback from the students, students felt more engaged during the exercises due to having been participants in their development process. This has in turn motivated them to continue using the training tools independently in their spare time. Further research is recommended to establish whether the training development model is adequate for different target groups, as well as better performing than other models when developing full-fledged training programs."
Parallel intelligence in three decades: a historical review and future perspective on ACP and cyber-physical-social systems,https://link.springer.com/article/10.1007/s10462-024-10861-9,16 August 2024,"Xingxia Wang, Jing Yang, Yuhang Liu, Yutong Wang, Fei-Yue Wang, Mengzhen Kang, Yonglin Tian, Imre Rudas, Lingxi Li, Maria Pia Fanti, Bassam Alrifaee, Muhammet Deveci, Deepak Mishra, Muhammad Khurram Khan, Long Chen, Philippe De Reffye","Recent advances in human-in-the-loop or human-centric research have sparked a new wave of scientific exploration. These studies have enhanced the understanding of complex social systems and contributed to more sustainable artificial intelligence (AI) ecosystems. However, the incorporation of human or social factors increases system complexity, making traditional approaches inadequate for managing these complex systems and necessitating a novel operational paradigm. Over decades of work, a mature and comprehensive theory of parallel intelligence (PI) has been established. Rooted in cyber-physical-social systems (CPSS), PI adapts flexibly to various situations within complex systems through the ACP framework (Artificial systems, Computational experiments, and Parallel execution), ensuring system reliability. This paper provides a detailed review and a novel perspective on PI, beginning with the historical and philosophical origins of CPSS and proceeding to present both the fundamental framework and technological implementations of PI. PI-based Industry 5.0 is highlighted, where three pillars are adopted to help realize the supposed vision. Additionally, the paper outlines applications of PI in multiple fields, such as transportation, healthcare, manufacturing, and agriculture, and discusses the opportunities and challenges for imaginative intelligence. The continuous exploration of PI is expected to eventually facilitate the realization of “6S”-based (safe, secure, sustainable, sensitive, service, and smart) parallel ecosystems."
A novel optimized neural network model for cyber attack detection using enhanced whale optimization algorithm,https://link.springer.com/article/10.1038/s41598-024-55098-2,07 March 2024,"Koganti Krishna Jyothi, Subba Reddy Borra, Koganti Srilakshmi, Praveen Kumar Balachandran, Ganesh Prasad Reddy, Ilhami Colak, C. Dhanamjayulu, Ravikumar Chinthaginjala, Baseem Khan","Cybersecurity is critical in today’s digitally linked and networked society. There is no way to overestimate the importance of cyber security as technology develops and becomes more pervasive in our daily lives. Cybersecurity is essential to people’s protection. One type of cyberattack known as “credential stuffing” involves using previously acquired usernames and passwords by attackers to access user accounts on several websites without authorization. This is feasible as a lot of people use the same passwords and usernames on several different websites. Maintaining the security of online accounts requires defence against credential-stuffing attacks. The problems of credential stuffing attacks, failure detection, and prediction can be handled by the suggested EWOA-ANN model. Here, a novel optimization approach known as Enhanced Whale Optimization Algorithm (EWOA) is put on to train the neural network. The effectiveness of the suggested attack identification model has been demonstrated, and an empirical comparison will be carried out with respect to specific security analysis."
A narrative perspective of island detection methods under the lens of cyber-attack in data-driven smart grid,https://link.springer.com/article/10.1186/s43067-023-00083-4,14 March 2023,"Apoorva Shukla, Soham Dutta, Sourav Kumar Sahu, Pradip Kumar Sadhu","As criminals and hackers are developing new methods to interfere with the operation of the power grid, the nature of grid vulnerabilities and threats is continuously evolving. The growing interest in transitioning the unidirectional power system to a bidirectional data-driven modern grid will further escalate these issues. The question of cyber security becomes essential in particular critical decisions such as island detection. The incorrect decision of island occurrence may completely disrupt the operation of a portion of the grid, causing substantial damage to electrical equipment and grid maintenance workers. Fast monitoring and accurate control of unplanned islanding detection are essential for distributed generation-based active networks for providing continuous power supply to critical loads. Considering the above aspects, this paper serves on the perspective of different island detection methods and various aspects of cyber security. The type of cyber-attacks is categorized in terms of their behavior. Key points are discussed about how, when, and in what fashion and degree it can harm all the sectors of the grid, i.e., generation, transmission, and distribution system. Finally, the impact of cyber-physical attacks on the islanding decision system is presented. The research remedies for such measures are also presented. Moreover, a comparison is being made among various island detection methods based on the extent of impact of different cyber-attacks on the operation of these methods. Some promising future solutions for cyber-secure island detection methods are also suggested."
Smart soldiers: towards a more ethical warfare,https://link.springer.com/article/10.1007/s00146-022-01385-3,29 January 2022,Femi Richard Omotoyinbo,"It is a truism that, due to human weaknesses, human soldiers have yet to have sufficiently ethical warfare. It is arguable that the likelihood of human soldiers to breach the Principle of Non-Combatant Immunity, for example, is higher in contrast tosmart soldierswho are emotionally inept. Hence, this paper examines the possibility that the integration of ethics into smart soldiers will help address moral challenges in modern warfare. The approach is to develop and employ smart soldiers that are enhanced with ethical capabilities. Advocates of this approach think that it is more realistic to make competent entities (i.e., smart soldiers) become morally responsible than to enforce moral responsibility on human soldiers with inherent (moral) limitations. This view somewhat seeks a radical transition from the usual anthropocentric warfare to arobocentricwarfare with the belief that the transition has moral advantages. However, the paper defends the claim that despite human limitations, the capacity ofethically enhanced smart soldiersfor moral sensitivity is artificial and unauthentic. There are significant problems with the three models of programming ethics into smart soldiers. Also, there are further challenges from the absence of emotion as a moral gauge, and the problems of apportioning responsibility in case of mishap from the actions or omissions of smart soldiers. Among other reasons, the paper takes the replacement of human soldiers as an extreme approach towards an ethical warfare. This replacement predicates ethical complications that outweigh the benefits from the exclusive use of smart soldiers."
The trans-national cybercrime court: towards a new harmonisation of cyber law regime in ASEAN,https://link.springer.com/article/10.1365/s43439-023-00105-x,06 December 2023,"Kwan Yuen Iu, Vanessa Man-Yi Wong","Legal harmonisation of cyber laws in the Association of Southeast Asian Nations (ASEAN) is necessary to combat the transnational nature of cybercrimes. However, this is a difficult task in ASEAN as it requires all ASEAN member states to agree on a uniform cybercrime regulatory framework. The rapid evolution of cybercrime also undermines the strength of a static convention. This leads to the following question: How can a harmonized regulatory framework that would efficiently tackle the rapid evolution of cybercrime be designed? Regrettably, the Budapest Convention failed to facilitate the legal harmonisation in ASEAN with its inability to reach universal consensus. This paper argues that a regional cybercrime court, namely the ASEAN Cybercrime Court, can be an alternative approach to achieving legal harmonisation with the prevalence of cybercrimes. The theoretical framework of this paper is based on the concept of international common law articulated by Andrew Guzman and Timothy Meyer, in which certain members unable to agree on a broad agreement can instead agree to shallow rules to create an institution with authority to promulgate rules. In effect, it reduces the transaction costs for reaching a consensus. This paper also analyses the feasibility and merit of the creation of the ASEAN Cybercrime Court from three aspects: the jurisdiction, the existence of an independent prosecutorʼs office and the legal interpretation. Although the solution is not a perfect answer to legal harmonisation, it serves as a starting point on a path to progress ultimately leading to the conclusion of a binding multilateral treaty."
"Open-source intelligence: a comprehensive review of the current state, applications and future perspectives in cyber security",https://link.springer.com/article/10.1007/s10462-023-10454-y,15 March 2023,"Ashok Yadav, Atul Kumar, Vrijendra Singh","The volume of data generated by today’s digitally connected world is enormous, and a significant portion of it is publicly available. These data sources are web archives, public databases, and social networks such as Facebook, Twitter, LinkedIn, Emails, Telegrams, etc. Open-source intelligence (OSINT) extracts information from a collection of publicly available and accessible data. OSINT can provide a solution to the challenges in extracting and gathering intelligence from various publicly available information and social networks. OSINT is currently expanding at an incredible rate, bringing new artificial intelligence-based approaches to address issues of national security, political campaign, the cyber industry, criminal profiling, and society, as well as cyber threats and crimes. In this paper, we have described the current state of OSINT tools/techniques and the state of the art for various applications of OSINT in cyber security. In addition, we have discussed the challenges and future directions to develop autonomous models. These models can provide solutions for different social network-based security, digital forensics, and cyber crime-based problems using various machine learning (ML), deep learning (DL) and artificial intelligence (AI) with OSINT."
My war: participation in warfare,https://link.springer.com/article/10.1057/s42984-022-00060-7,02 December 2022,"Olga Boichak, Andrew Hoskins",Abstract Not Available
Artificial intelligence in the long view: from mechanical intelligence to cyber-social systems,https://link.springer.com/article/10.1007/s44163-022-00029-1,09 August 2022,"Bill Cope, Mary Kalantzis","Artificial intelligence (AI) is emerging as a defining technology of our time, a source of fear as often as inspiration. Immersed in its practicalities, rarely do we get to ask the question, what is it? How does it impact our lives? How does it extend our human capacities? What are its risks? What are its limits? This paper is a theoretical and historical overview of the nature of binary computing that underpins AI and its relations with human intelligence. It also considers some philosophical questions about the semiotic or sense-creating work of computers. Our argument proceeds in five steps. We begin with an historical background: since Ada Lovelace, we have wondered about the intelligence of machines capable of computation, and the ways in which machine intelligence can extend human intelligence. Second, we ask, in what ways does binary computing extend human intelligence and delimit the scope of AI? Third, we propose a grammar with which to parse the practical meanings that are enabled with and through binary computing. Through this discussion, we raise the question of ontology as a counter-balance to what we will argue has been an over-emphasis on the instrumental reasoning processes of the algorithm. Fourth, we situate binary computing in the context of broad developments in modern societies which we characterize as a series of systems transitions: from industrial, to informational, to a new phase that we term “cyber-social.” Finally, we explore the risks inherent in a pervasively cyber-social system. These are narrowly captured in the technical domain, “cybersecurity.” We set out to reconceive this problem framework as the location for a potential solution, supplementing analyses of cybersecurity risk with a program of cyber-social trust."
"Exploring the integration of blockchain technology, physical unclonable function, and machine learning for authentication in cyber-physical systems",https://link.springer.com/article/10.1007/s11042-023-16979-2,29 September 2023,"Hind A. Al-Ghuraybi, Mohammed A. AlZain, Ben Soh","In this rapidly advancing era, technology has been progressing extensively and swiftly. As a result, the emergence of numerous Cyber-Physical Systems (CPS) has become imperative to meet the technological demands of modern life. However, these systems generate a substantial amount of data, which poses challenges in terms of management, storage, and susceptibility to external attacks. This paper primarily focuses on the performance and security aspects of CPS, particularly in countering external threats, through the integration of blockchain technology and machine learning. It provides a comprehensive review of recent research findings that demonstrate the use of blockchain to enhance CPS performance while ensuring robust security. Furthermore, the paper explores the synergistic application of blockchain and machine learning techniques to reinforce CPS security. Moreover, it investigates how the combination of blockchain with physically unclonable functions (PUF) can significantly enhance the efficacy of physical device authentication."
