Title,URL,Date Published,Authors,Abstract,Preprocessed_Abstract
Navigating digital divide: exploring the influence of ideological and political education on cyber security and digital literacy amid information warfare,https://link.springer.com/article/10.1007/s12144-024-06106-1,23 May 2024,Baihang Huang,"This study investigates the intricate relationship between ideological and political education (IPE), cyber security, and digital literacy within the context of online information warfare, aiming to shed light on strategies for navigating the digital divide. Utilizing a quantitative research approach and convenience sampling, data were collected through a meticulously crafted online survey from a diverse range of participants, including students, professionals, and other individuals. Analysis of the data, conducted using SPSS software and Smart-PLS 3, revealed several significant findings. Firstly, there exists a pronounced disparity in access to diverse online information based on individuals’ levels of IPE. Additionally, media literacy skills exhibit significant variation across different levels of IPE. Furthermore, the study elucidates how IPE influences individuals’ propensity to engage in online echo chambers and their susceptibility to cyber security vulnerabilities. Finally, it underscores the role of IPE in shaping digital participation and civic engagement. Overall, this research contributes novel insights into the complex dynamics of online information warfare and highlights the pivotal role of ideological and political education in mitigating the digital divide. This study underscores the critical importance of IPE in shaping individuals’ digital literacy, cyber security awareness, and engagement with online information environments. By elucidating the impact of IPE on navigating the digital divide, this research contributes valuable insights for policymakers, educators, and stakeholders seeking to foster a more informed, resilient, and inclusive digital society.",study investigates intricate relationship ideological political education ipe cyber security digital literacy within context online information warfare aim shed light strategy navigate digital divide utilize quantitative research approach convenience sample data collect meticulously craft online survey diverse range participant include student professional individual analysis data conduct use spss software smartpls reveal several significant finding firstly exists pronounce disparity access diverse online information base individual level ipe additionally medium literacy skill exhibit significant variation across different level ipe furthermore study elucidates ipe influence individual propensity engage online echo chamber susceptibility cyber security vulnerability finally underscore role ipe shape digital participation civic engagement overall research contributes novel insight complex dynamic online information warfare highlight pivotal role ideological political education mitigate digital divide study underscore critical importance ipe shape individual digital literacy cyber security awareness engagement online information environment elucidate impact ipe navigate digital divide research contributes valuable insight policymakers educator stakeholder seek foster inform resilient inclusive digital society
Smart vehicles networks: BERT self-attention mechanisms for cyber-physical system security,https://link.springer.com/article/10.1007/s13198-023-02065-1,27 July 2023,Sultan Mesfer Aldossary,"People can freely communicate on a travel-related subject over the internet through IoT on smart vehicles to maintain their interpersonal relationships. Cyber security challenges are brought on by the rising use of smart vehicle communications and information. Attackers use the chance to fabricate communications to obtain users’ personal information from smart vehicles. It is a significant duty to distinguish genuine postings from phishing messages and violence among the millions of messages on smart vehicle networks. The Bidirectional Encoder Representations from Transformers (BERT) method with self-attention is proposed in this paper to process textual threats, vulnerability data, and cyber-attacks. The BERT-SA model is fine-tuned to enhance performance. The self-attention method of a proposed model determines the contextual relationships among words in a text input, i.e., governs the relative reputation of each word in the phrase by examining its exact placement inside the sentence. This model’s primary goal is to accurately carry out tasks specialized in cyber-security. The BERT model performs better than other neural networks models like CNN, RNN, and LSTM. Sentiment140, T4SA datasets are used to assess the effectiveness of the BERT model. The experimental results show that the proposed model enhances the accuracy by up to 96.65%.",people freely communicate travelrelated subject internet iot smart vehicle maintain interpersonal relationship cyber security challenge brought rise use smart vehicle communication information attacker use chance fabricate communication obtain user personal information smart vehicle significant duty distinguish genuine posting phishing message violence among million message smart vehicle network bidirectional encoder representation transformer bert method selfattention propose paper process textual threat vulnerability data cyberattacks bertsa model finetuned enhance performance selfattention method propose model determines contextual relationship among word text input ie governs relative reputation word phrase examine exact placement inside sentence model primary goal accurately carry task specialized cybersecurity bert model performs well neural network model like cnn rnn lstm sentiment tsa datasets use ass effectiveness bert model experimental result show propose model enhances accuracy
Improving patient centric data retrieval and cyber security in healthcare: privacy preserving solutions for a secure future,https://link.springer.com/article/10.1007/s11042-024-18253-5,31 January 2024,"S. Arunprasath, Suresh Annamalai","The healthcare industry is increasingly reliant on access to large volumes of patient data, which is critical for improving patient outcomes, reducing costs, and ensuring regulatory compliance. However, there are significant challenges facing healthcare organizations in retrieving patient data from databases and ensuring the security and privacy of this data. Addressing these challenges is vital to the future success of the healthcare industry. This paper proposes two solutions to these challenges: a simplified ontology-based retrieval algorithm for healthcare multimedia data to enhance the retrieval process, and Hierarchical learning: ensemble model-based reinforcement learning to improve patient data security. An ontology-based retrieval algorithm was a method used to retrieve relevant information from large datasets. It filtered out irrelevant data and provided contextually relevant results. Hierarchical learning involved organizing learning tasks in a hierarchical structure, with higher-level policies guiding lower-level policies. Ensemble model-based reinforcement learning combined multiple models to improve the performance of a reinforcement learning system. The Simplified Ontology-Based Retrieval Algorithm had excellent performance with an accuracy of 92%, making it highly effective in information retrieval tasks. The paper highlights the importance of using advanced technologies and prioritizing cyber security in healthcare to maintain trust and optimal patient care. Cutting-edge technologies transformed healthcare by enhancing patient data retrieval and cyber security. Examples included encrypted computations, multi-party privacy, query result anonymization, real-time monitoring through IoMT, and secure data sharing. Adopting these solutions ultimately contributed to the protection of sensitive patient data and the overall security of healthcare organizations.",healthcare industry increasingly reliant access large volume patient data critical improve patient outcome reduce cost ensure regulatory compliance however significant challenge face healthcare organization retrieve patient data database ensure security privacy data address challenge vital future success healthcare industry paper proposes two solution challenge simplify ontologybased retrieval algorithm healthcare multimedia data enhance retrieval process hierarchical learn ensemble modelbased reinforcement learn improve patient data security ontologybased retrieval algorithm method use retrieve relevant information large datasets filter irrelevant data provide contextually relevant result hierarchical learn involve organize learn task hierarchical structure higherlevel policy guide lowerlevel policy ensemble modelbased reinforcement learn combine multiple model improve performance reinforcement learn system simplify ontologybased retrieval algorithm excellent performance accuracy make highly effective information retrieval task paper highlight importance use advanced technology prioritize cyber security healthcare maintain trust optimal patient care cuttingedge technology transform healthcare enhance patient data retrieval cyber security example include encrypt computation multiparty privacy query result anonymization realtime monitoring iomt secure data share adopt solution ultimately contribute protection sensitive patient data overall security healthcare organization
Quantum communication based cyber security analysis using artificial intelligence with IoMT,https://link.springer.com/article/10.1007/s11082-023-06185-7,30 January 2024,"Huimin Han, Jun Yao, Yujun Wu, Yingyan Dou, Jingjuan Fu","Connected electronic devices used in healthcare, such as small sensors and actuators and other cyber-physical devices, make up what is known as the Internet of Medical Things. By linking these devices, medical monitoring, analysis, and reporting may become more intelligent and autonomous, ultimately benefiting the patient. To solve these problems, a thorough plan for monitoring and assessing method health needs to be formulated. The application of traditional machine learning to massive datasets in a shared computing environment may lead to model training and computation that is either too slow to provide accurate results or too fast to produce erroneous results as a consequence of rushed training, both of which are detrimental. Key 6G enablers may be seen of as the upcoming paradigms of machine learning (ML), quantum computing, and quantum ML (QML), as well as their synergies with communication networks. This research presents a new machine learning approach to medical cyber physical system (CPS) predictive maintenance using swarm robots. In this case, we use fog computing-integrated soft sensors to conduct a thorough closed-loop dynamic analysis of the CPS predictive maintenance. Extreme learning utilising a weighted sliding window. The investigation of medical security is then conducted using a kernel decision making system based on probabilistic swarm robotics. In terms of training accuracy, energy use, convergence ratio, precision, and F_measure, an experimental study is conducted. The system's ability to (i) avoid unscheduled downtime and (ii) consequently increase operational availability sets it apart from other systems. The system aims to notify users as quickly as feasible of unusual operations and probable failure scenarios.",connect electronic device use healthcare small sensor actuator cyberphysical device make know internet medical thing link device medical monitoring analysis reporting may become intelligent autonomous ultimately benefiting patient solve problem thorough plan monitoring assess method health need formulate application traditional machine learn massive datasets share compute environment may lead model training computation either slow provide accurate result fast produce erroneous result consequence rush training detrimental key g enablers may see upcoming paradigm machine learn ml quantum compute quantum ml qml well synergy communication network research present new machine learn approach medical cyber physical system cps predictive maintenance use swarm robot case use fog computingintegrated soft sensor conduct thorough closedloop dynamic analysis cps predictive maintenance extreme learn utilise weight slide window investigation medical security conduct use kernel decision make system base probabilistic swarm robotics term training accuracy energy use convergence ratio precision fmeasure experimental study conduct system ability avoid unscheduled downtime ii consequently increase operational availability set apart system system aim notify user quickly feasible unusual operation probable failure scenario
Moving beyond cyber security awareness and training to engendering security knowledge sharing,https://link.springer.com/article/10.1007/s10257-022-00575-2,12 October 2022,"Saad Alahmari, Karen Renaud, Inah Omoronyia","Employees play a critical role in improving workplace cyber security, which builds on widespread security knowledge and expertise. To maximise knowledge levels, organisations run awareness and training course. Yet, they should also encourage and facilitateSecurity Knowledge Sharing(SKS). To facilitate such sharing, we used a bespoke App which deploys a game to deliver security training and to encourage sharing based on theTransactive Memory System(TMS) theory. An empirical study was conducted within a Saudi Arabian Fortune 100 organisation to test the impact of the app on employee knowledge. The app demonstrated efficacy in enhancing organisational security awareness and knowledge. The results highlight the potential of TMS in improving overall security knowledge in organisations.",employee play critical role improve workplace cyber security build widespread security knowledge expertise maximise knowledge level organisation run awareness training course yet also encourage facilitatesecurity knowledge sharingsks facilitate share use bespoke app deploys game deliver security training encourage share base thetransactive memory systemtms theory empirical study conduct within saudi arabian fortune organisation test impact app employee knowledge app demonstrate efficacy enhance organisational security awareness knowledge result highlight potential tm improve overall security knowledge organisation
CyberSAGE: The cyber security argument graph evaluation tool,https://link.springer.com/article/10.1007/s10664-021-10056-8,09 December 2022,"William G. Temple, Yue Wu, Carmen Cheh, Yuan Li, Binbin Chen, Zbigniew T. Kalbarczyk, William H. Sanders, David Nicol","Cyber risk assessment is a critical step in securing the digital systems that support modern society. Typically this is a manual process carried out by consultants or working groups with little or no software support outside of spreadsheet tools. As cybersecurity threats and digital systems themselves become more complex and dynamic, there is a need for greater tool support in the risk assessment process to document and trace assumptions and facilitate the revision or extension of a threat and risk assessment throughout a system’s lifecycle. The Cyber Security Argument Graph Evaluation (CyberSAGE) tool provides a platform for model-based cybersecurity analysis of cyber failure and attack scenarios. It combines models of high-level workflow, system architecture, device properties, attacker capability and skill, to compute holistic, quantitative security metrics. In this paper we describe the models, algorithms, and software architecture of the CyberSAGE tool. To illustrate its application, we describe an assessment carried out on communication systems in two railway lines with the support of an industry partner. Finally, we summarize feedback on the CyberSAGE tool from the railway case study partner, as well as over 40 interviews with practitioners and domain experts and a multinational electronics company who carried out a one year independent evaluation.",cyber risk assessment critical step secure digital system support modern society typically manual process carry consultant work group little software support outside spreadsheet tool cybersecurity threat digital system become complex dynamic need great tool support risk assessment process document trace assumption facilitate revision extension threat risk assessment throughout system lifecycle cyber security argument graph evaluation cybersage tool provide platform modelbased cybersecurity analysis cyber failure attack scenario combine model highlevel workflow system architecture device property attacker capability skill compute holistic quantitative security metric paper describe model algorithm software architecture cybersage tool illustrate application describe assessment carry communication system two railway line support industry partner finally summarize feedback cybersage tool railway case study partner well interview practitioner domain expert multinational electronics company carry one year independent evaluation
Security establishment using deep convolutional network model in cyber-physical systems,https://link.springer.com/article/10.1007/s11042-024-18535-y,22 February 2024,"R. Meganathan, Manjunath B, R. Anand, V. Murugesh","This study develops an active security control strategy for Cyber-Physical Systems (CPSs) that are subject to attacks known as Denial-of-Service (DoS), which can target both channels from the controller to the actuator and from the controller to the sensor. Due to attack cost restrictions, the linked channels are subject to a limit on the number of continuous DoS attacks. A proactive security control method is then developed to combat two-channel DoS attacks, depending on a method for identifying IoT intrusions. Using the CICIDS dataset for attack detection, we examined the effectiveness of the Deep Convolutional Network Model (DCNM), a suggested deep learning model. The addressed CPS can be asymptotically stable against DoS assaults under the security controller's active security control technique without sacrificing control performance. Recent tests and simulations show how effective the security control strategy is active. The proposed model gives better trade-off compared to existing approaches like Deep Belief Networks (DBN), Recurrent Neural Networks (RNN), Support Vector Machines (SVM), Supervised Neural Networks (SNN) and Feed Forward Neural Networks (FNN). The proposed model gives 99.3%, 99.5%, 99.5%, 99.6%, 99%, 98.9%, 99% accuracy with normal attack detection, botnet attack detection, Brute force attack detection, DoS attack detection, Infiltration attack detection, Portscan attack detection and web attack detection respectively.",study develops active security control strategy cyberphysical system cps subject attack know denialofservice do target channel controller actuator controller sensor due attack cost restriction link channel subject limit number continuous do attack proactive security control method developed combat twochannel do attack depend method identify iot intrusion use cicids dataset attack detection examine effectiveness deep convolutional network model dcnm suggest deep learn model address cps asymptotically stable do assault security controller active security control technique without sacrifice control performance recent test simulation show effective security control strategy active propose model give well tradeoff compare exist approach like deep belief network dbn recurrent neural network rnn support vector machine svm supervise neural network snn feed forward neural network fnn propose model give accuracy normal attack detection botnet attack detection brute force attack detection do attack detection infiltration attack detection portscan attack detection web attack detection respectively
"Security Algorithm for Intelligent Transport System in Cyber-Physical Systems Perceptive: Attacks, Vulnerabilities, and Countermeasures",https://link.springer.com/article/10.1007/s42979-023-01897-9,29 July 2023,"R. Pavithra, Vishnu kumar Kaliappan, Sivaramakrishnan Rajendar","Upcoming technological innovations and findings are immense in the field of intelligent transport systems (ITS). Cyber-physical systems (CPSs) are complex systems that integrate communication, control, and computing technology. CPSs are widely used today in intelligent transportation. For every development of a new system, there is a parallel offender who initiates the attack to destroy the root of the system developed. The attack category is infinite in such developing technology. In this paper, we have focused on preserving the security of ITS from cyber-physical systems perceptive, and various vulnerabilities, attacks, and countermeasures against ITS. Reinforcement learning is the latest buzzword in which an agent can understand and explain the environment, perform an action, and learn through trial and error. The paper also explains how reinforcement learning helps ITS in terms of security.",upcoming technological innovation finding immense field intelligent transport system cyberphysical system cps complex system integrate communication control compute technology cps widely use today intelligent transportation every development new system parallel offender initiate attack destroy root system developed attack category infinite develop technology paper focus preserve security cyberphysical system perceptive various vulnerability attack countermeasure reinforcement learn late buzzword agent understand explain environment perform action learn trial error paper also explains reinforcement learn help term security
A systematic literature review of cyber-security data repositories and performance assessment metrics for semi-supervised learning,https://link.springer.com/article/10.1007/s44248-023-00003-x,06 April 2023,"Paul K. Mvula, Paula Branco, Guy-Vincent Jourdan, Herna L. Viktor","In Machine Learning, the datasets used to build models are one of the main factors limiting what these models can achieve and how good their predictive performance is. Machine Learning applications for cyber-security or computer security are numerous including cyber threat mitigation and security infrastructure enhancement through pattern recognition, real-time attack detection, and in-depth penetration testing. Therefore, for these applications in particular, the datasets used to build the models must be carefully thought to be representative of real-world data. However, because of the scarcity of labelled data and the cost of manually labelling positive examples, there is a growing corpus of literature utilizing Semi-Supervised Learning with cyber-security data repositories. In this work, we provide a comprehensive overview of publicly available data repositories and datasets used for building computer security or cyber-security systems based on Semi-Supervised Learning, where only a few labels are necessary or available for building strong models. We highlight the strengths and limitations of the data repositories and sets and provide an analysis of the performance assessment metrics used to evaluate the built models. Finally, we discuss open challenges and provide future research directions for using cyber-security datasets and evaluating models built upon them.",machine learn datasets use build model one main factor limit model achieve good predictive performance machine learn application cybersecurity computer security numerous include cyber threat mitigation security infrastructure enhancement pattern recognition realtime attack detection indepth penetration test therefore application particular datasets use build model must carefully thought representative realworld data however scarcity label data cost manually label positive example grow corpus literature utilize semisupervised learn cybersecurity data repository work provide comprehensive overview publicly available data repository datasets use building computer security cybersecurity system base semisupervised learn label necessary available building strong model highlight strength limitation data repository set provide analysis performance assessment metric use evaluate built model finally discus open challenge provide future research direction use cybersecurity datasets evaluate model built upon
Security strategy for autonomous vehicle cyber-physical systems using transfer learning,https://link.springer.com/article/10.1186/s13677-023-00564-x,20 December 2023,"Abdulaziz A. Alsulami, Qasem Abu Al-Haija, Badraddin Alturki, Ali Alqahtani, Raed Alsini","Cyber-physical systems (CPSs) are emergent systems that enable effective real-time communication and collaboration (C&C) of physical components such as control systems, sensors, actuators, and the surrounding environment through a cyber communication infrastructure. As such, autonomous vehicles (AVs) are one of the fields that have significantly adopted the CPS approach to improving people's lives in smart cities by reducing energy consumption and air pollution. Therefore, autonomous vehicle-cyber physical systems (AV-CPSs) have attracted enormous investments from major corporations and are projected to be widely used. However, AV-CPS is vulnerable to cyber and physical threat vectors due to the deep integration of information technology (IT), including cloud computing, with the communication process. Cloud computing is critical in providing the scalable infrastructure required for real-time data processing, storage, and analysis in AV-CPS, allowing these systems to work seamlessly in smart cities. CPS components such as sensors and control systems through network infrastructure are particularly vulnerable to cyber-attacks targeted by attackers using the communication system. This paper proposes an intelligent intrusion detection system (IIDS) for AV-CPS using transfer learning to identify cyberattacks launched against connected physical components of AVs through a network infrastructure. First, AV-CPS was developed by implementing the controller area network (CAN) and integrating it into the AV simulation model. Second, the dataset was generated from the AV-CPS. The collected dataset was then preprocessed to be trained and tested via pre-trained CNNs. Third, eight pre-trained networks were implemented, namely, InceptionV3, ResNet-50, ShuffleNet, MobileNetV2, GoogLeNet, ResNet-18, SqueezeNet, and AlexNet. The performance of the implemented models was evaluated. According to the experimental evaluation results, GoogLeNet outperformed all other pre-rained networks, scoring an F1- score of 99.47%.",cyberphysical system cps emergent system enable effective realtime communication collaboration cc physical component control system sensor actuator surround environment cyber communication infrastructure autonomous vehicle av one field significantly adopt cps approach improve people life smart city reduce energy consumption air pollution therefore autonomous vehiclecyber physical system avcpss attract enormous investment major corporation project widely use however avcps vulnerable cyber physical threat vector due deep integration information technology include cloud compute communication process cloud compute critical provide scalable infrastructure require realtime data processing storage analysis avcps allow system work seamlessly smart city cps component sensor control system network infrastructure particularly vulnerable cyberattacks target attacker use communication system paper proposes intelligent intrusion detection system iids avcps use transfer learn identify cyberattacks launch connect physical component av network infrastructure first avcps developed implement controller area network integrate av simulation model second dataset generate avcps collect dataset preprocessed train test via pretrained cnns third eight pretrained network implement namely inceptionv resnet shufflenet mobilenetv googlenet resnet squeezenet alexnet performance implement model evaluate accord experimental evaluation result googlenet outperform prerained network score f score
Dependency-based security risk assessment for cyber-physical systems,https://link.springer.com/article/10.1007/s10207-022-00608-4,22 August 2022,"Aida Akbarzadeh, Sokratis K. Katsikas","A cyber-physical attack is a security breach in cyber space that impacts on the physical environment. The number and diversity of such attacks against Cyber-Physical Systems (CPSs) are increasing at impressive rates. In times of Industry 4.0 and Cyber-Physical Systems, providing security against cyber-physical attacks is a serious challenge which calls for cybersecurity risk assessment methods capable of investigating the tight interactions and interdependencies between the cyber and the physical components in such systems. However, existing risk assessment methods do not consider this specific characteristic of CPSs. In this paper, we propose a dependency-based, domain-agnostic cybersecurity risk assessment method that leverages a model of the CPS under study that captures dependencies among the system components. The proposed method identifies possible attack paths against critical components of a CPS by taking an attacker’s viewpoint and prioritizes these paths according to their risk to materialize, thus allowing the defenders to define efficient security controls. We illustrate the workings of the proposed method by applying it to a case study of a CPS in the energy domain, and we highlight the advantages that the proposed method offers when used to assess cybersecurity risks in CPSs.",cyberphysical attack security breach cyber space impact physical environment number diversity attack cyberphysical system cps increase impressive rate time industry cyberphysical system provide security cyberphysical attack serious challenge call cybersecurity risk assessment method capable investigate tight interaction interdependency cyber physical component system however exist risk assessment method consider specific characteristic cps paper propose dependencybased domainagnostic cybersecurity risk assessment method leverage model cps study capture dependency among system component propose method identifies possible attack path critical component cps take attacker viewpoint prioritizes path accord risk materialize thus allow defender define efficient security control illustrate working propose method apply case study cps energy domain highlight advantage propose method offer use ass cybersecurity risk cps
Socio Cyber-Physical System for Cyber-Attack Detection in Brand Marketing Communication Network,https://link.springer.com/article/10.1007/s11277-024-11261-6,18 June 2024,"SiFan Yang, Haiming Long","Brand truthfulness, consumer trust, and economic security are all seriously dangerous from sophisticated cyberattacks targeting brand communication networks in today’s digitally driven marketplace. This study aims to improve the identification and mitigation of cyber risks in these systems by introducing the Socio-Cyber-Physical System (SCPS) architecture. The suggested SCPS framework combines social behaviour analytics, physical network monitoring, and powerful artificial intelligence to establish a comprehensive and flexible security system. The proposed method processes the brand marketing area, such as Alluring ads, and the SCPS helps to identify the cyber-attacks in ads. Initially, it collects the URL structure dataset and pre-processes the data. Then, the SCPS is integrated with the system to identify any attacks in the URL dataset. Next, the dataset will be trained using deep learning methods such as Deep Maxout Network (DMN). An experimental setup in a fictitious brand communication network shows how well the system recognises and reacts to different types of cyberattacks. The SCPS framework is a new strategy that contributes to digital marketing administration and cyber security by bringing together the social, technological, and physical domains to protect digital marketing assets. The evaluation of the trial showed effective and precise detection of phishing attacks. According to the performance evaluation, the DMN algorithm beat other applied models with a maximum accuracy and precision of 96% during the training and 93% during the testing phases. Based on URL, text, and image attributes, the algorithms distinguished between phishing and authentic websites with these precision values. This study improves internet user security by assisting in the early detection of sophisticated phishing assaults.",brand truthfulness consumer trust economic security seriously dangerous sophisticated cyberattacks target brand communication network today digitally driven marketplace study aim improve identification mitigation cyber risk system introduce sociocyberphysical system scps architecture suggest scps framework combine social behaviour analytics physical network monitoring powerful artificial intelligence establish comprehensive flexible security system propose method process brand marketing area allure ad scps help identify cyberattacks ad initially collect url structure dataset preprocesses data scps integrate system identify attack url dataset next dataset train use deep learn method deep maxout network dmn experimental setup fictitious brand communication network show well system recognises reacts different type cyberattacks scps framework new strategy contributes digital marketing administration cyber security bring together social technological physical domain protect digital marketing asset evaluation trial show effective precise detection phishing attack accord performance evaluation dmn algorithm beat apply model maximum accuracy precision training test phase base url text image attribute algorithm distinguish phishing authentic website precision value study improves internet user security assist early detection sophisticated phishing assault
Mathematically Modified Adaptive Neuro-Fuzzy Inference System for an Intelligent Cyber Security System,https://link.springer.com/article/10.1007/s42979-023-01822-0,17 June 2023,"Divyapushpalakshmi Marimuthu, Ganga Rama Koteswara Rao, Abolfazl Mehbodniya, Dhavamani Mohanasundaram, Chandru Kavindapadi Sundaram, Anto Bennet Maria, Devi Mani","Cybersecurity is defending sensitive information and crucial systems against Internet attacks. Cyber-Physical Systems (CPS) and the Internet of Things (IoT) are becoming increasingly significant in critical infrastructure, government, and daily life. Using persons, processes, technology, and policies to protect businesses, their sensitive data, and critical systems from Internet threats. Several researchers developed and analyzed the security system for protecting confidential information. The existing security system lacks sufficient accuracy, which results in cyber-attacks. A Mathematically Modified Adaptive Neuro-Fuzzy Inference System (MMANFIS) is used to attain efficiency and handle complex data. The proposed MMANFIS is effective in attaining an accuracy of 96% by retrieving significant features where the MMANFIS classifier accomplishes the classification. To demonstrate the proposed MMANFIS, the output classifier is compared with the results of the current methodologies. Two fuzzy inference-based rules are taken into consideration to clarify this MMANFIS model. The current and proposed optimum feature selection algorithms have examined the classifiers’ effectiveness using full and best features. The proposed MMANFIS approach outperforms in terms of accuracy, which attains 95% accuracy, and the accuracy rate is higher than the existing techniques. The processing time for the attack diagnosis has significantly reduced from 12.220 to 3.079 s while using optimal features of MM as inputs compared to using Gaussian Algorithm (GA) features.",cybersecurity defend sensitive information crucial system internet attack cyberphysical system cps internet thing iot become increasingly significant critical infrastructure government daily life use person process technology policy protect business sensitive data critical system internet threat several researcher developed analyze security system protect confidential information exist security system lack sufficient accuracy result cyberattacks mathematically modify adaptive neurofuzzy inference system mmanfis use attain efficiency handle complex data propose mmanfis effective attain accuracy retrieve significant feature mmanfis classifier accomplishes classification demonstrate propose mmanfis output classifier compare result current methodology two fuzzy inferencebased rule take consideration clarify mmanfis model current propose optimum feature selection algorithm examine classifier effectiveness use full best feature propose mmanfis approach outperforms term accuracy attains accuracy accuracy rate high exist technique processing time attack diagnosis significantly reduce use optimal feature mm input compare use gaussian algorithm ga feature
"Open-source intelligence: a comprehensive review of the current state, applications and future perspectives in cyber security",https://link.springer.com/article/10.1007/s10462-023-10454-y,15 March 2023,"Ashok Yadav, Atul Kumar, Vrijendra Singh","The volume of data generated by today’s digitally connected world is enormous, and a significant portion of it is publicly available. These data sources are web archives, public databases, and social networks such as Facebook, Twitter, LinkedIn, Emails, Telegrams, etc. Open-source intelligence (OSINT) extracts information from a collection of publicly available and accessible data. OSINT can provide a solution to the challenges in extracting and gathering intelligence from various publicly available information and social networks. OSINT is currently expanding at an incredible rate, bringing new artificial intelligence-based approaches to address issues of national security, political campaign, the cyber industry, criminal profiling, and society, as well as cyber threats and crimes. In this paper, we have described the current state of OSINT tools/techniques and the state of the art for various applications of OSINT in cyber security. In addition, we have discussed the challenges and future directions to develop autonomous models. These models can provide solutions for different social network-based security, digital forensics, and cyber crime-based problems using various machine learning (ML), deep learning (DL) and artificial intelligence (AI) with OSINT.",volume data generate today digitally connect world enormous significant portion publicly available data source web archive public database social network facebook twitter linkedin email telegram etc opensource intelligence osint extract information collection publicly available accessible data osint provide solution challenge extract gathering intelligence various publicly available information social network osint currently expand incredible rate bring new artificial intelligencebased approach address issue national security political campaign cyber industry criminal profile society well cyber threat crime paper described current state osint toolstechniques state art various application osint cyber security addition discuss challenge future direction develop autonomous model model provide solution different social networkbased security digital forensics cyber crimebased problem use various machine learn ml deep learn dl artificial intelligence ai osint
Exploring the social implications of buying and selling cyber security,https://link.springer.com/article/10.1007/s10611-022-10037-y,10 June 2022,"Diarmaid Harkin, Adam Molnar","Governments, businesses, private citizens and even organised crime are increasingly investing in cyber security, with the cyber security industry growing in size and relevance. This paper demonstrates that markets for the buying and selling of cyber security should be subject to many of the same critical inquiries typically targeted at the private security industry. Using a number of illustrative examples of emerging trends in the commodification of cyber security it will be highlighted how these markets create significant social impacts and present similar dilemmas of democracy, justice, sovereignty, and deleterious side-effects for wider society. Key conceptual differences between cyber security commodities and ‘conventional’ security commodities will also be considered before arguing for an inter-disciplinary research agenda into the considerable social implications of the buying and selling of cyber security commodities.",government business private citizen even organise crime increasingly invest cyber security cyber security industry grow size relevance paper demonstrates market buying sell cyber security subject many critical inquiry typically target private security industry use number illustrative example emerge trend commodification cyber security highlight market create significant social impact present similar dilemma democracy justice sovereignty deleterious sideeffects wider society key conceptual difference cyber security commodity conventional security commodity also consider argue interdisciplinary research agenda considerable social implication buying sell cyber security commodity
Observer-based security control for Markov jump systems under hybrid cyber-attacks and its application via event-triggered scheme,https://link.springer.com/article/10.1007/s00500-023-09234-1,03 October 2023,"M. Mubeen Tajudeen, M. Syed Ali, R. Perumal, Hamed Alsulami, Bashir Ahmad","This article investigates the observer-based security control of discrete-time Markov jump systems (MJSs) subject to hybrid cyber-attacks and unmeasured states via event-triggered scheme. The event-triggered scheme (ETS) is being developed to relieve more network burdens. A Luenburger observer is used to estimate the unmeasured states. In this work, the hybrid cyber attack is addressed, which contains deception attacks and DoS attacks. It is anticipated that input control signals sent across a network are vulnerable to hybrid cyber-attacks in which adversaries could inject fake data into the control signals. Since system state information is usually not fully known, an observer-based controller is built to stabilize the system and keep the right performance index even when hybrid cyber-attacks happen. By solving linear matrix inequalities (LMIs), the controllers and observers are also obtained. Lastly, inverted pendulum applications are shown to show how well and realistically the theoretical results can be used to respond to and get rid of the effects of hybrid cyber-attacks.",article investigates observerbased security control discretetime markov jump system mjss subject hybrid cyberattacks unmeasured state via eventtriggered scheme eventtriggered scheme ets developed relieve network burden luenburger observer use estimate unmeasured state work hybrid cyber attack address contains deception attack do attack anticipate input control signal sent across network vulnerable hybrid cyberattacks adversary could inject fake data control signal since system state information usually fully know observerbased controller built stabilize system keep right performance index even hybrid cyberattacks happen solve linear matrix inequality lmis controller observer also obtain lastly invert pendulum application show show well realistically theoretical result use respond get rid effect hybrid cyberattacks
A Reputation Game on Cyber-Security and Cyber-Risk Calibration,https://link.springer.com/article/10.1007/s00245-022-09851-6,13 April 2022,"Kookyoung Han, Jin Hyuk Choi","To analyze strategic interactions arising in the cyber-security context, we develop a new reputation game model in which an attacker can pretend to be a normal user and a defender may have to announce attack detection at a certain point of time without knowing whether he has been attacked. We show the existence and uniqueness of sequential equilibrium in Markov strategies, and explicitly characterize the players’ equilibrium strategies. Using our model, we suggest empirical and theoretical ways of calibrating the attack probability, which is an important element of cyber-risks.",analyze strategic interaction arise cybersecurity context develop new reputation game model attacker pretend normal user defender may announce attack detection certain point time without know whether attack show existence uniqueness sequential equilibrium markov strategy explicitly characterize player equilibrium strategy use model suggest empirical theoretical way calibrate attack probability important element cyberrisks
